Date	Opponent	GS	MIN	FGM/A	%	3FG/A	%	FTM/A	%	OFF	DEF	TOT	AVG	PF	AST	T/O	BLK	STL	PTS	AVG
11/07/25	Denver		16	2-3	.667	1-2	.500	0-0	.000	1	3	4	4.0	4	0	1	0	0	5	5.0
11/12/25	Sacramento St.		10	1-1	1.000	1-1	1.000	0-0	.000	0	1	1	2.5	0	1	0	0	0	3	4.0
11/16/25	at San Francisco		30	4-7	.571	1-2	.500	4-4	1.000	1	4	5	3.3	2	2	6	0	2	13	7.0
11/22/25	Air Force	*	30	2-5	.400	2-4	.500	3-4	.750	0	5	5	3.8	3	1	3	1	1	9	7.5
11/24/25	Occidental	*	23	3-7	.429	1-4	.250	4-4	1.000	0	3	3	3.6	0	8	0	0	0	11	8.2
11/28/25	at Washington	*	40	8-14	.571	2-6	.333	1-1	1.000	0	1	1	3.2	2	3	4	2	1	19	10.0
11/30/25	at Portland St.	*	34	7-15	.467	2-5	.400	1-1	1.000	0	5	5	3.4	2	4	0	0	0	17	11.0
12/06/25	Long Beach St.	*	32	11-18	.611	4-10	.400	1-2	.500	2	2	4	3.5	1	5	2	0	2	27	13.0
12/15/25	at California Baptist	*	29	5-12	.417	2-5	.400	0-0	.000	0	1	1	3.2	4	2	4	0	1	12	12.9
12/20/25	Northern Ariz.	*	20	3-9	.333	0-5	.000	0-0	.000	0	3	3	3.2	4	1	4	0	2	6	12.2
01/01/26	Cal Poly	*	34	7-11	.636	4-8	.500	3-4	.750	1	4	5	3.4	0	8	2	0	3	21	13.0
01/03/26	at Hawaii	*	39	4-12	.333	4-8	.500	2-3	.667	0	4	4	3.4	5	4	3	0	1	14	13.1
01/08/26	at Cal St. Fullerton	*	42	4-9	.444	3-7	.429	0-0	.000	0	4	4	3.5	3	3	7	0	1	11	12.9
01/10/26	UC Riverside	*	34	3-7	.429	1-2	.500	0-0	.000	0	6	6	3.6	1	4	1	0	1	7	12.5
01/15/26	at CSUN	*	27	2-9	.222	1-3	.333	0-0	.000	1	3	4	3.7	5	2	4	0	1	5	12.0
01/17/26	CSU Bakersfield	*	21	7-11	.636	3-5	.600	2-2	1.000	0	1	1	3.5	2	2	2	0	0	19	12.4
01/22/26	UC Davis	*	40	4-14	.286	3-10	.300	4-5	.800	0	5	5	3.6	3	2	3	0	1	15	12.6
01/24/26	at UC Irvine	*	37	7-13	.538	4-6	.667	2-2	1.000	1	1	2	3.5	4	3	2	1	2	20	13.0
01/29/26	at UC Santa Barbara	*	40	1-6	.167	0-2	.000	3-7	.429	0	6	6	3.6	1	4	4	0	0	5	12.6
01/31/26	CSUN	*	35	4-14	.286	4-10	.400	4-5	.800	1	2	3	3.6	1	2	4	0	2	16	12.8
02/05/26	at Long Beach St.	*	29	0-6	.000	0-4	.000	3-4	.750	0	5	5	3.7	1	2	1	0	0	3	12.3
02/07/26	Hawaii	*	32	3-8	.375	2-5	.400	2-2	1.000	0	4	4	3.7	2	2	2	0	0	10	12.2
02/12/26	at UC Davis	*	48	2-11	.182	1-8	.125	2-2	1.000	1	1	2	3.6	5	2	2	1	0	7	12.0
02/14/26	at UC Riverside	*	35	2-4	.500	1-3	.333	4-8	.500	0	1	1	3.5	4	1	3	0	0	9	11.8
02/21/26	UC Irvine	*	35	2-11	.182	1-8	.125	2-2	1.000	1	0	1	3.4	4	1	3	0	3	7	11.6
02/26/26	at CSU Bakersfield	*	28	6-8	.750	2-4	.500	1-2	.500	1	1	2	3.3	5	0	1	1	2	15	11.8
02/28/26	at Cal Poly	*	22	3-8	.375	2-6	.333	4-4	1.000	0	1	1	3.3	2	1	1	0	1	12	11.8
03/05/26	Cal St. Fullerton	*	30	2-5	.400	1-3	.333	2-4	.500	0	2	2	3.2	4	5	1	0	1	7	11.6
03/07/26	UC Santa Barbara	*	23	1-7	.143	1-3	.333	2-2	1.000	0	0	0	3.1	3	2	1	0	2	5	11.4
03/13/26	vs UC Davis	*	12	2-5	.400	0-2	.000	0-0	.000	0	1	1	3.0	1	1	1	0	0	4	11.1
03/14/26	vs Hawaii	*	29	2-7	.286	2-5	.400	2-2	1.000	0	1	1	3.0	3	1	3	0	2	8	11.0
03/20/26	at TCU	*	28	3-12	.250	1-6	.167	0-0	.000	0	0	0	2.9	1	2	1	1	1	7	10.9
