Sections,Chebyshev Coding Exercises,Chebyshev Coding Exercises - Max Points,Chebyshev Coding Exercises - Submission Time,Chebyshev Coding Exercises - Lateness (H:M:S),Chebyshev Handwritten Exercises,Chebyshev Handwritten Exercises - Max Points,Chebyshev Handwritten Exercises - Submission Time,Chebyshev Handwritten Exercises - Lateness (H:M:S),score,Chebyshev Final Assessment - Max Points,Chebyshev Final Assessment - Submission Time,Chebyshev Final Assessment - Lateness (H:M:S),Total Lateness (H:M:S),coding,handwritten
1,NA,14,NA,00:00:00,NA,8,NA,00:00:00,48.2,61,2026-02-19 00:30:02 -0800,00:00:00,00:00:00,No,No
2,NA,14,NA,00:00:00,NA,8,NA,00:00:00,NA,61,NA,00:00:00,00:00:00,Yes,No
4,14,14,2026-02-26 11:03:14 -0800,00:00:00,8,8,2026-02-26 10:58:15 -0800,00:00:00,46.2,61,2026-02-26 11:36:47 -0800,00:00:00,00:00:00,Yes,Yes
4,NA,14,NA,00:00:00,NA,8,NA,00:00:00,NA,61,NA,00:00:00,00:00:00,Yes,Yes
3,NA,14,NA,00:00:00,NA,8,NA,00:00:00,NA,61,NA,00:00:00,00:00:00,No,Yes
4,NA,14,NA,00:00:00,NA,8,NA,00:00:00,NA,61,NA,00:00:00,00:00:00,Yes,Yes
2,14,14,2026-02-19 12:25:11 -0800,00:00:00,NA,8,NA,00:00:00,31.3,61,2026-02-19 12:50:00 -0800,00:00:00,00:00:00,Yes,No
2,NA,14,NA,00:00:00,NA,8,NA,00:00:00,NA,61,NA,00:00:00,00:00:00,Yes,No
4,NA,14,NA,00:00:00,NA,8,NA,00:00:00,NA,61,NA,00:00:00,00:00:00,Yes,Yes
4,13,14,2026-01-18 16:16:07 -0800,00:00:00,8,8,2026-01-18 16:18:45 -0800,00:00:00,56,61,2026-01-18 16:25:38 -0800,00:00:00,00:00:00,Yes,Yes
1,NA,14,NA,00:00:00,NA,8,NA,00:00:00,6.5,61,2026-01-16 20:45:36 -0800,00:00:00,00:00:00,No,No
1,NA,14,NA,00:00:00,NA,8,NA,00:00:00,NA,61,NA,00:00:00,00:00:00,No,No
4,14,14,2026-02-20 12:13:22 -0800,00:00:00,8,8,2026-02-20 12:31:06 -0800,00:00:00,44.3,61,2026-02-20 12:42:07 -0800,00:00:00,00:00:00,Yes,Yes
3,NA,14,NA,00:00:00,NA,8,NA,00:00:00,NA,61,NA,00:00:00,00:00:00,No,Yes
2,NA,14,NA,00:00:00,NA,8,NA,00:00:00,NA,61,NA,00:00:00,00:00:00,Yes,No
3,NA,14,NA,00:00:00,8,8,2026-03-01 21:46:39 -0800,00:00:00,29.1,61,2026-03-01 22:08:54 -0800,00:00:00,00:00:00,No,Yes
3,NA,14,NA,00:00:00,8,8,2026-03-01 21:08:19 -0800,00:00:00,54,61,2026-03-01 21:16:46 -0800,00:00:00,00:00:00,No,Yes
4,NA,14,NA,00:00:00,NA,8,NA,00:00:00,NA,61,NA,00:00:00,00:00:00,Yes,Yes
4,NA,14,NA,00:00:00,NA,8,NA,00:00:00,NA,61,NA,00:00:00,00:00:00,Yes,Yes
3,NA,14,NA,00:00:00,NA,8,NA,00:00:00,NA,61,NA,00:00:00,00:00:00,No,Yes
2,12.6667,14,2026-01-29 22:41:59 -0800,00:00:00,NA,8,NA,00:00:00,33.3,61,2026-01-29 22:56:25 -0800,00:00:00,00:00:00,Yes,No
4,12,14,2026-02-28 14:16:43 -0800,00:00:00,8,8,2026-02-28 13:38:10 -0800,00:00:00,48.1,61,2026-02-28 14:45:07 -0800,00:00:00,00:00:00,Yes,Yes
2,12.6667,14,2026-01-20 18:21:41 -0800,00:00:00,NA,8,NA,00:00:00,41.2,61,2026-01-20 18:40:47 -0800,00:00:00,00:00:00,Yes,No
4,14,14,2026-01-20 15:15:28 -0800,00:00:00,NA,8,NA,00:00:00,NA,61,NA,00:00:00,00:00:00,Yes,Yes
2,14,14,2026-02-28 18:08:04 -0800,00:00:00,NA,8,NA,00:00:00,40.2,61,2026-02-28 18:20:50 -0800,00:00:00,00:00:00,Yes,No
4,NA,14,NA,00:00:00,NA,8,NA,00:00:00,NA,61,NA,00:00:00,00:00:00,Yes,Yes
4,NA,14,NA,00:00:00,NA,8,NA,00:00:00,NA,61,NA,00:00:00,00:00:00,Yes,Yes
2,13,14,2026-03-02 00:00:45 -0800,00:01:45,NA,8,NA,00:00:00,32.2,61,2026-03-01 23:46:20 -0800,00:00:00,00:01:45,Yes,No
2,NA,14,NA,00:00:00,NA,8,NA,00:00:00,NA,61,NA,00:00:00,00:00:00,Yes,No
1,NA,14,NA,00:00:00,NA,8,NA,00:00:00,45.1,61,2026-01-20 18:12:09 -0800,00:00:00,00:00:00,No,No
3,NA,14,NA,00:00:00,8,8,2026-02-03 23:50:42 -0800,00:00:00,31.3,61,2026-02-04 03:59:50 -0800,00:00:00,00:00:00,No,Yes
4,NA,14,NA,00:00:00,NA,8,NA,00:00:00,NA,61,NA,00:00:00,00:00:00,Yes,Yes
3,NA,14,NA,00:00:00,NA,8,NA,00:00:00,NA,61,NA,00:00:00,00:00:00,No,Yes
3,NA,14,NA,00:00:00,NA,8,NA,00:00:00,NA,61,NA,00:00:00,00:00:00,No,Yes
2,14,14,2026-02-22 16:05:58 -0800,00:00:00,NA,8,NA,00:00:00,61,61,2026-02-22 16:35:14 -0800,00:00:00,00:00:00,Yes,No
3,NA,14,NA,00:00:00,NA,8,NA,00:00:00,NA,61,NA,00:00:00,00:00:00,No,Yes
1,NA,14,NA,00:00:00,NA,8,NA,00:00:00,23.3,61,2026-02-26 17:29:44 -0800,00:00:00,00:00:00,No,No
1,NA,14,NA,00:00:00,NA,8,NA,00:00:00,51,61,2026-02-24 21:27:47 -0800,00:00:00,00:00:00,No,No
4,NA,14,NA,00:00:00,NA,8,NA,00:00:00,NA,61,NA,00:00:00,00:00:00,Yes,Yes
4,12,14,2026-01-19 17:14:03 -0800,00:00:00,8,8,2026-01-19 17:20:44 -0800,00:00:00,51,61,2026-01-19 17:27:05 -0800,00:00:00,00:00:00,Yes,Yes
1,NA,14,NA,00:00:00,NA,8,NA,00:00:00,35.2,61,2026-02-25 15:51:29 -0800,00:00:00,00:00:00,No,No
1,NA,14,NA,00:00:00,NA,8,NA,00:00:00,44.2,61,2026-03-01 22:55:09 -0800,00:00:00,00:00:00,No,No
1,NA,14,NA,00:00:00,NA,8,NA,00:00:00,38.3,61,2026-02-18 22:52:13 -0800,00:00:00,00:00:00,No,No
1,NA,14,NA,00:00:00,NA,8,NA,00:00:00,NA,61,NA,00:00:00,00:00:00,No,No
2,13,14,2026-01-20 13:20:14 -0800,00:00:00,NA,8,NA,00:00:00,46,61,2026-01-20 13:49:55 -0800,00:00:00,00:00:00,Yes,No
1,NA,14,NA,00:00:00,NA,8,NA,00:00:00,NA,61,NA,00:00:00,00:00:00,No,No
3,NA,14,NA,00:00:00,NA,8,NA,00:00:00,NA,61,NA,00:00:00,00:00:00,No,Yes
2,NA,14,NA,00:00:00,NA,8,NA,00:00:00,NA,61,NA,00:00:00,00:00:00,Yes,No
1,NA,14,NA,00:00:00,NA,8,NA,00:00:00,34.2,61,2026-01-27 23:55:34 -0800,00:00:00,00:00:00,No,No
4,14,14,2026-02-28 21:59:44 -0800,00:00:00,8,8,2026-03-01 19:01:52 -0800,00:00:00,24.2,61,2026-03-01 19:10:50 -0800,00:00:00,00:00:00,Yes,Yes
2,13,14,2026-02-27 23:41:10 -0800,00:00:00,NA,8,NA,00:00:00,20.4,61,2026-02-28 00:02:29 -0800,00:00:00,00:00:00,Yes,No
4,NA,14,NA,00:00:00,NA,8,NA,00:00:00,NA,61,NA,00:00:00,00:00:00,Yes,Yes
1,NA,14,NA,00:00:00,NA,8,NA,00:00:00,53.1,61,2026-02-19 22:43:43 -0800,00:00:00,00:00:00,No,No
1,NA,14,NA,00:00:00,NA,8,NA,00:00:00,49.1,61,2026-02-22 21:15:20 -0800,00:00:00,00:00:00,No,No
3,NA,14,NA,00:00:00,NA,8,NA,00:00:00,NA,61,NA,00:00:00,00:00:00,No,Yes
2,NA,14,NA,00:00:00,NA,8,NA,00:00:00,NA,61,NA,00:00:00,00:00:00,Yes,No
1,NA,14,NA,00:00:00,NA,8,NA,00:00:00,37.2,61,2026-03-01 18:22:38 -0800,00:00:00,00:00:00,No,No
1,NA,14,NA,00:00:00,NA,8,NA,00:00:00,35.1,61,2026-02-03 23:34:39 -0800,00:00:00,00:00:00,No,No
4,14,14,2026-03-01 17:47:12 -0800,00:00:00,8,8,2026-03-01 16:45:56 -0800,00:00:00,59,61,2026-03-01 18:13:59 -0800,00:00:00,00:00:00,Yes,Yes
1,NA,14,NA,00:00:00,NA,8,NA,00:00:00,61,61,2026-01-26 19:45:43 -0800,00:00:00,00:00:00,No,No
2,NA,14,NA,00:00:00,NA,8,NA,00:00:00,NA,61,NA,00:00:00,00:00:00,Yes,No
2,14,14,2026-02-28 17:29:19 -0800,00:00:00,NA,8,NA,00:00:00,40.1,61,2026-03-02 03:33:42 -0800,03:34:42,03:34:42,Yes,No
1,NA,14,NA,00:00:00,NA,8,NA,00:00:00,33,61,2026-03-01 11:09:52 -0800,00:00:00,00:00:00,No,No
3,NA,14,NA,00:00:00,8,8,2026-01-28 15:46:16 -0800,00:00:00,52,61,2026-01-28 16:18:45 -0800,00:00:00,00:00:00,No,Yes
1,NA,14,NA,00:00:00,NA,8,NA,00:00:00,39.2,61,2026-02-23 15:58:56 -0800,00:00:00,00:00:00,No,No
4,14,14,2026-01-23 14:24:56 -0800,00:00:00,8,8,2026-01-23 14:23:33 -0800,00:00:00,33.3,61,2026-01-23 14:46:37 -0800,00:00:00,00:00:00,Yes,Yes
3,NA,14,NA,00:00:00,8,8,2026-02-24 17:30:25 -0800,00:00:00,37.2,61,2026-02-24 17:38:58 -0800,00:00:00,00:00:00,No,Yes
2,14,14,2026-02-20 17:50:28 -0800,00:00:00,NA,8,NA,00:00:00,38.2,61,2026-02-20 17:55:43 -0800,00:00:00,00:00:00,Yes,No
4,11,14,2026-02-24 00:58:19 -0800,00:00:00,8,8,2026-02-24 01:01:29 -0800,00:00:00,56,61,2026-02-24 01:08:00 -0800,00:00:00,00:00:00,Yes,Yes
1,NA,14,NA,00:00:00,NA,8,NA,00:00:00,43.1,61,2026-02-26 15:43:32 -0800,00:00:00,00:00:00,No,No
3,NA,14,NA,00:00:00,NA,8,NA,00:00:00,NA,61,NA,00:00:00,00:00:00,No,Yes
3,NA,14,NA,00:00:00,8,8,2026-02-23 17:46:51 -0800,00:00:00,61,61,2026-02-23 17:57:36 -0800,00:00:00,00:00:00,No,Yes
2,14,14,2026-01-27 10:55:20 -0800,00:00:00,NA,8,NA,00:00:00,41.3,61,2026-01-27 11:26:31 -0800,00:00:00,00:00:00,Yes,No
1,NA,14,NA,00:00:00,NA,8,NA,00:00:00,NA,61,NA,00:00:00,00:00:00,No,No
