Hand #,Marked,Site,Date,Stake,My C Won,Final Hand,Hole Cards,PF Act,Flop,F Act,Turn,T Act,River,R Act,Winner,Winning Hand,Pot,Rake,won_cumul
212380000000,NA,PokerStars,4/23/2020 16:23,$1 NL (6 max),($1.00),(folded preflop),Ts4h,F,0,NA,0,NA,0,NA,pocketAA412,(did not show hand),$2.50,$0.00,-1
212380000000,NA,PokerStars,4/23/2020 16:24,$1 NL (6 max),$0.00,(folded preflop),8h6c,F,0,NA,0,NA,0,NA,pocketAA412,(did not show hand),$1.00,$0.00,-1
212380000000,NA,PokerStars,4/23/2020 16:24,$1 NL (6 max),$5.27,(did not show hand),7h6c,R,Ts7d9s,B,6d,B,0,NA,Chip3ter,(did not show hand),$11.70,$0.58,4.27
212380000000,NA,PokerStars,4/23/2020 16:25,$1 NL (6 max),($15.72),"Two Pair, Queens and Jacks",QsJc,R,QhJs9s,B,6s,X,4d,C,pocketAA412,"Flush, Ace High",$31.94,$1.50,-11.450000000000001
212380000000,NA,PokerStars,4/23/2020 16:25,$1 NL (6 max),$1.00,(did not show hand),AcJh,R,0,NA,0,NA,0,NA,Chip3ter,(did not show hand),$2.00,$0.00,-10.450000000000001
212380000000,NA,PokerStars,4/23/2020 16:25,$1 NL (6 max),($1.00),(folded preflop),Js4d,F,0,NA,0,NA,0,NA,pocketAA412,(did not show hand),$2.50,$0.00,-11.450000000000001
212380000000,NA,PokerStars,4/23/2020 16:25,$1 NL (6 max),$0.00,(folded preflop),Kc4h,F,0,NA,0,NA,0,NA,SurMajesty,(did not show hand),$1.00,$0.00,-11.450000000000001
212380000000,NA,PokerStars,4/23/2020 16:26,$1 NL (6 max),($0.50),(folded preflop),8d4s,F,3dTd3s,NA,9s,NA,5s,NA,pocketAA412,"Two Pair, Queens and Threes",$46.36,$1.50,-11.950000000000001
212380000000,NA,PokerStars,4/23/2020 16:26,$1 NL (6 max),($1.00),(folded preflop),Ks4h,F,4s7hQs,NA,0,NA,0,NA,pocketAA412,(did not show hand),$8.50,$0.42,-12.950000000000001
212380000000,NA,PokerStars,4/23/2020 16:26,$1 NL (6 max),$0.00,(folded preflop),Kc7s,F,2cThAh,NA,0,NA,0,NA,pocketAA412,(did not show hand),$2.00,$0.10,-12.950000000000001
