Date,OPP,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,Location,result,score,DefRtg
Fri 4/10,TOR,31.0,12-18,66.7,2-5,40.0,3-3,100.0,3.0,2.0,0.0,2.0,1.0,3.0,29.0,Home,W,112-95,112.1
Thu 4/9,BOS,37.0,10-19,52.6,2-7,28.6,3-4,75.0,1.0,10.0,0.0,0.0,3.0,1.0,25.0,Home,W,112-106,111.7
Mon 4/6,ATL,39.0,11-26,42.3,3-8,37.5,5-7,71.4,3.0,13.0,0.0,2.0,1.0,3.0,30.0,Away,W,108-105,112.9
Fri 4/3,CHI,30.0,6-13,46.2,1-4,25.0,4-4,100.0,1.0,10.0,0.0,0.0,4.0,2.0,17.0,Home,W,136-96,117.4
Tue 3/31,HOU,37.0,5-14,35.7,1-5,20.0,1-2,50.0,6.0,8.0,0.0,1.0,2.0,3.0,12.0,Away,L,111-94,112.1
Sun 3/29,OKC,37.0,13-22,59.1,4-7,57.1,2-4,50.0,5.0,5.0,0.0,0.0,3.0,4.0,32.0,Away,L,111-100,106.5
Thu 3/26,CHA,40.0,10-23,43.5,0-6,0.0,6-6,100.0,2.0,13.0,0.0,1.0,5.0,2.0,26.0,Away,L,114-103,113.5
Tue 3/24,NO,39.0,11-19,57.9,2-4,50.0,8-9,88.9,1.0,7.0,0.0,0.0,1.0,2.0,32.0,Home,W,121-116,117.6
Sun 3/22,WSH,28.0,9-19,47.4,2-5,40.0,3-3,100.0,0.0,4.0,0.0,1.0,2.0,2.0,23.0,Home,W,145-113,121.5
Fri 3/20,BKN,41.0,7-19,36.8,1-6,16.7,2-4,50.0,5.0,8.0,0.0,2.0,1.0,3.0,17.0,Away,W,93-92,118.2
Sun 3/15,GS,36.0,9-20,45.0,2-7,28.6,10-10,100.0,1.0,9.0,1.0,2.0,1.0,3.0,30.0,Home,W,110-107,114.4
Fri 3/13,IND,37.0,11-25,44.0,0-3,0.0,7-8,87.5,5.0,9.0,0.0,1.0,3.0,2.0,29.0,Away,W,101-92,117.9
Wed 3/11,UTA,33.0,7-16,43.8,4-7,57.1,10-11,90.9,4.0,8.0,0.0,3.0,1.0,3.0,28.0,Away,W,134-117,112.7
Mon 3/9,LAC,38.0,12-23,52.2,2-7,28.6,2-3,66.7,4.0,8.0,0.0,1.0,1.0,3.0,28.0,Away,L,126-118,115.2
Sun 3/8,LAL,42.0,8-19,42.1,3-8,37.5,5-7,71.4,6.0,7.0,0.0,0.0,2.0,7.0,24.0,Away,L,110-97,115.5
Fri 3/6,DEN,34.0,3-13,23.1,1-3,33.3,2-2,100.0,3.0,15.0,0.0,1.0,3.0,1.0,9.0,Away,W,142-103,116.0
Wed 3/4,OKC,39.0,5-18,27.8,2-5,40.0,4-6,66.7,3.0,15.0,0.0,1.0,0.0,3.0,16.0,Home,L,103-100,106.5
Tue 3/3,TOR,37.0,10-22,45.5,2-7,28.6,4-4,100.0,2.0,10.0,0.0,1.0,1.0,1.0,26.0,Away,W,111-95,112.1
Sun 3/1,SA,32.0,7-16,43.8,4-7,57.1,6-7,85.7,4.0,7.0,0.0,0.0,4.0,3.0,24.0,Home,W,114-89,110.4
Fri 2/27,MIL,31.0,11-17,64.7,4-6,66.7,1-2,50.0,7.0,3.0,0.0,0.0,2.0,1.0,27.0,Away,W,127-98,118.3
Tue 2/24,CLE,36.0,6-19,31.6,3-7,42.9,5-7,71.4,1.0,4.0,1.0,0.0,4.0,2.0,20.0,Away,L,109-94,114.1
Sun 2/22,CHI,36.0,7-19,36.8,1-6,16.7,4-6,66.7,5.0,9.0,1.0,0.0,1.0,2.0,19.0,Away,W,105-99,117.4
Sat 2/21,HOU,36.0,6-12,50.0,0-1,0.0,8-9,88.9,3.0,6.0,0.0,0.0,4.0,3.0,20.0,Home,W,108-106,112.1
Thu 2/19,DET,38.0,12-20,60.0,3-7,42.9,6-6,100.0,6.0,8.0,0.0,2.0,4.0,6.0,33.0,Home,L,126-111,108.9
Wed 2/11,PHI,30.0,3-6,50.0,2-3,66.7,0-0,0.0,4.0,4.0,0.0,0.0,1.0,2.0,8.0,Away,W,138-89,114.4
Tue 2/10,IND,42.0,15-31,48.4,4-14,28.6,6-8,75.0,5.0,8.0,0.0,1.0,3.0,1.0,40.0,Home,L,137-134,117.9
Sun 2/8,BOS,33.0,12-21,57.1,4-8,50.0,3-3,100.0,3.0,8.0,0.0,0.0,1.0,3.0,31.0,Away,W,111-89,111.7
Fri 2/6,DET,31.0,4-20,20.0,0-8,0.0,4-6,66.7,4.0,4.0,0.0,2.0,2.0,0.0,12.0,Away,L,118-80,108.9
Wed 2/4,DEN,47.0,14-27,51.9,5-12,41.7,9-11,81.8,8.0,9.0,0.0,2.0,2.0,5.0,42.0,Home,W,134-127,116.0
Tue 2/3,WSH,31.0,7-16,43.8,1-6,16.7,6-7,85.7,1.0,4.0,0.0,2.0,2.0,0.0,21.0,Away,W,132-101,121.5
Sun 2/1,LAL,37.0,4-15,26.7,2-6,33.3,2-2,100.0,7.0,13.0,0.0,1.0,0.0,1.0,12.0,Home,W,112-100,115.5
Fri 1/30,POR,34.0,8-20,40.0,5-12,41.7,5-5,100.0,1.0,3.0,0.0,2.0,1.0,1.0,26.0,Home,W,127-97,113.5
Wed 1/28,TOR,30.0,5-13,38.5,0-3,0.0,3-3,100.0,1.0,4.0,1.0,0.0,4.0,4.0,13.0,Away,W,119-92,112.1
Tue 1/27,SAC,35.0,9-17,52.9,4-8,50.0,6-7,85.7,3.0,4.0,1.0,0.0,2.0,2.0,28.0,Home,W,103-87,120.3
Sat 1/24,PHI,38.0,11-24,45.8,6-12,50.0,3-5,60.0,5.0,6.0,0.0,0.0,3.0,2.0,31.0,Away,W,112-109,114.4
Wed 1/21,BKN,31.0,8-17,47.1,1-8,12.5,3-4,75.0,4.0,5.0,0.0,0.0,2.0,2.0,20.0,Home,W,120-66,118.2
Mon 1/19,DAL,34.0,9-24,37.5,1-4,25.0,3-3,100.0,0.0,6.0,0.0,0.0,4.0,2.0,22.0,Home,L,114-97,115.5
Wed 1/14,SAC,5.0,2-3,66.7,0-1,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,Away,L,112-101,120.3
Sun 1/11,POR,37.0,10-19,52.6,3-9,33.3,3-3,100.0,6.0,8.0,0.0,1.0,4.0,2.0,26.0,Away,W,123-114,113.5
Fri 1/9,PHX,37.0,9-19,47.4,5-10,50.0,4-4,100.0,3.0,5.0,0.0,0.0,1.0,4.0,27.0,Away,L,112-107,114.2
Wed 1/7,LAC,33.0,9-12,75.0,4-5,80.0,4-4,100.0,3.0,7.0,1.0,0.0,2.0,2.0,26.0,Home,W,123-111,115.2
Mon 1/5,DET,31.0,10-21,47.6,2-6,33.3,3-3,100.0,3.0,0.0,0.0,0.0,3.0,6.0,25.0,Away,L,121-90,108.9
Sat 1/3,PHI,35.0,10-21,47.6,2-4,50.0,9-12,75.0,4.0,4.0,0.0,0.0,1.0,4.0,31.0,Home,L,130-119,114.4
Fri 1/2,ATL,35.0,10-23,43.5,1-8,12.5,3-3,100.0,2.0,5.0,0.0,1.0,3.0,2.0,24.0,Home,L,111-99,112.9
Wed 12/31,SA,36.0,10-24,41.7,5-12,41.7,4-5,80.0,4.0,8.0,0.0,2.0,3.0,1.0,29.0,Away,L,134-132,110.4
Mon 12/29,NO,36.0,10-23,43.5,5-10,50.0,3-3,100.0,3.0,10.0,0.0,0.0,1.0,1.0,28.0,Away,W,130-125,117.6
Sat 12/27,ATL,38.0,15-29,51.7,4-11,36.4,0-0,0.0,3.0,5.0,0.0,0.0,4.0,3.0,34.0,Away,W,128-125,112.9
Thu 12/25,CLE,39.0,10-25,40.0,6-12,50.0,8-10,80.0,1.0,4.0,0.0,2.0,1.0,3.0,34.0,Home,W,126-124,114.1
Sun 12/21,MIA,38.0,15-26,57.7,6-13,46.2,11-11,100.0,3.0,8.0,0.0,0.0,5.0,0.0,47.0,Home,W,132-125,113.6
