Week,Title,Date,#,Lecture,Lecturer,Readings,Links,Keywords,Homework,Discussion,Lab,Quiz,Survey,,
1,Python Basics,Mon 1/5,1,Introduction,"Sam, Peter","CIT 1.0, BPD 1-3","https://inferentialthinking.com/chapters/01/what-is-data-science.html, https://notes.dsc10.com/01-getting_started/tools.html","course logistics, syllabus, Little Women demo, Jupyter notebooks, expressions",,1. Getting Started with Jupyter Notebooks,,,,,
,,Wed 1/7,2,Expressions and Data Types,Sam,BPD 3-5,https://notes.dsc10.com/01-getting_started/expressions.html,"variables, assignment, functions, import, methods, int, float, string",,,,,[Welcome Survey](https://forms.gle/EAUaG1wHM1aBXJnRA),,
,,Fri 1/9,3,Lists and Arrays,Sam,"BPD 7-8, CIT 14.1","https://notes.dsc10.com/02-data_sets/arrays.html, https://inferentialthinking.com/chapters/14/1/Properties_of_the_Mean.html#","mean, median, lists, arrays, array arithmetic, array methods, np.arange",,,,,,,
2,DataFrames and Visualization,Mon 1/12,4,DataFrames,Sam,BPD 9,https://notes.dsc10.com/02-data_sets/accessing.html,"read_csv, .get, .assign, .sort_values, .iloc, .loc, .set_index, US states",,,0. Expressions and Data Types,,,Sam,16
,,Wed 1/14,5,Querying and Grouping,Sam,BPD 10-11,https://notes.dsc10.com/02-data_sets/querying.html,"Booleans, querying, .shape, &, |, .take, .groupby, aggregation, .drop",,,,,,Peter,17
,,Fri 1/16,6,Data Visualization,Sam,CIT 7.0-7.1,https://inferentialthinking.com/chapters/07/Visualization.html,"numerical vs. categorical, scatter plot, line plot, bar chart, exoplanets",,,,0. Pre-test for research,,,
3,Histograms and Functions,Mon 1/19,,No Lecture (Martin Luther King Jr. Day),,,,,,,,,,,
,,Tue 1/20,,,,,,,,,1. Arrays and DataFrames,,,,
,,Wed 1/21,7,Distributions and Histograms,Peter,CIT 7.2-7.3,https://inferentialthinking.com/chapters/07/2/Visualizing_Numerical_Distributions.html,"distributions, density histograms, binning, total area, overlaid plots","1. Basic Python, Arrays, and DataFrames",,,,,,
,,Fri 1/23,8,Functions and Applying,Peter,"BPD 6, 12","https://notes.dsc10.com/01-getting_started/functions-defining.html#example, https://notes.dsc10.com/02-data_sets/apply.html","functions, arguments, print vs. return, .apply, .reset_index",,,,1. Quiz 1 covers Lectures 1-6,,,
4,"DataFrames, Control Flow, and Probability",Mon 1/26,9,"Grouping on Multiple Columns, Merging",Peter,"BPD 11, 13","https://notes.dsc10.com/02-data_sets/groupby.html, https://notes.dsc10.com/02-data_sets/merging.html",".groupby([col_1, col_2, …]), subgroups, MultiIndex, .merge, number of rows",,,2. Data Visualizations and Functions,,,,
,,Wed 1/28,10,Conditional Statements and Iteration,Peter,CIT 9.0-9.2,https://inferentialthinking.com/chapters/09/Randomness.html,"in, not, and, or, if, else, elif, for-loops, np.append, accumulator pattern","2. DataFrames, Data Visualization, and Functions",,,,,,
,,Fri 1/30,11,Probability,Peter,CIT 9.5,https://inferentialthinking.com/chapters/09/5/Finding_Probabilities.html,"event, conditional prob., multiplication and addition rules, independence",,,,,,,
5,Simulations and Sampling,Mon 2/2,12,Simulation,Sam,CIT 9.3-9.4,https://inferentialthinking.com/chapters/09/3/Simulation.html,"np.random.choice, replacement, np.count_nonzero, coin flipping, Monty Hall",,,"3. DataFrames, Control Flow, and Probability",,,,
,,Wed 2/4,13,Distributions and Sampling,Sam,CIT 10.0-10.4,https://inferentialthinking.com/chapters/10/Sampling_and_Empirical_Distributions.html,"probability vs. empirical distribution, SRS, .sample, parameter, statistic","3. DataFrames, Control Flow, and Probability",,,,Mid-Quarter Survey,,
,,Fri 2/6,14,Bootstrapping and Confidence Intervals,Peter,CIT 13.0-13.2,https://inferentialthinking.com/chapters/13/Estimation.html,"inference, bootstrapping, resample, np.percentile, confidence interval",,,,2. Quiz 2 covers Lectures 7-11,,,
6,Confidence Intervals and the Normal Distribution,Mon 2/9,15,"Confidence Intervals, Center, and Spread",Peter,,,,,,,,,,
,,Wed 2/11,,Midterm Exam covers Lectures 1-12,"Sam, Peter",CIT 13.3-13.4,https://inferentialthinking.com/chapters/13/3/Confidence_Intervals.html,"interpreting CIs, robust vs. sensitive, center, standard deviation",,,,,,,
,,Fri 2/13,16,Standardization and the Normal Distribution,Sam,CIT 14.2-14.3,https://inferentialthinking.com/chapters/14/2/Variability.html,"Chebyshev, standard units, normal distribution, CDF, inflection points",Midterm Project,,,,,,
7,Central Limit Theorem,Mon 2/16,,No Lecture (Presidents Day),,,,,,,,,,,
,,Tue 2/17,,,,,,,,,"4. Simulation, Sampling, & Bootstrapping",,,,
,,Wed 2/18,17,The Central Limit Theorem,Peter,,,,"4. Simulation, Sampling, & Bootstrapping",,,,,,
,,Fri 2/20,18,"Choosing Sample Sizes, Statistical Models",Peter,CIT 14.4-14.5,https://inferentialthinking.com/chapters/14/4/Central_Limit_Theorem.html,"distribution of the sample mean, square root law, CLT-based CIs",,,,,,,
8,Hypothesis and Permutation Testing,Mon 2/23,19,Hypothesis Testing,Peter,CIT 11.3,https://inferentialthinking.com/chapters/11/3/Decisions_and_Uncertainty.html,"null and alternative hypotheses, test statistic, fair or unfair coin",,,5. Variability and the Normal Distribution,,,,
,,Wed 2/25,20,Hypothesis Testing and Total Variation Distance,Peter,"CIT 11.2, 11.4","https://inferentialthinking.com/chapters/11/2/Multiple_Categories.html, https://inferentialthinking.com/chapters/11/4/Error_Probabilities.html","fair or unfair coin, p-value, midterm exam scores, Alameda County jury, TVD",5. The Normal Distribution and the Central Limit Theorem,,,,,,
,,Fri 2/27,21,"TVD, Hypothesis Testing, and Permutation Testing",Peter,CIT 12.0-12.1,https://inferentialthinking.com/chapters/12/Comparing_Two_Samples.html,"confidence intervals for hypothesis testing, body temperature, smoking/babies",,,,3. Quiz 3 covers Lectures 13-17,,,
9,Prediction,Mon 3/2,22,Permutation Testing,Peter,CIT 12.3,https://inferentialthinking.com/chapters/12/3/Deflategate.html,"smoking/babies, np.random.permutation, shuffling, Deflategate",,,6. Hypothesis Testing,,,,
,,Wed 3/4,23,Correlation,Sam,CIT 15.0-15.2,https://inferentialthinking.com/chapters/15/Prediction.html,"association, correlation coefficient (r), predicting heights, regression line (su)",,,,,,,
,,Thu 3/5,,,,,,,6. Hypothesis Testing and Permutation Testing,,,,,,
,,Fri 3/6,24,Regression and Least Squares,Sam,CIT 15.2-15.4,https://inferentialthinking.com/chapters/15/2/Regression_Line.html,"regression line in original units, outliers, errors, RMSE, best fit, least squares",,,,4. Quiz 4 covers Lectures 18-21,,,
10,Review,Mon 3/9,25,Residuals and Inference,Sam,CIT 15.5-16.3,https://inferentialthinking.com/chapters/15/5/Visual_Diagnostics.html,"residuals, residual plots, patterns, datasaurus dozen, prediction intervals",,,7. Regression,,,,
,,Wed 3/11,26,Review,Sam,,,,,,,,,,
,,Thu 3/12,,,,,,,Final Project,,,,,,
,,Fri 3/13,27,"Review, Conclusion","Sam, Peter",,,,,,,5. Post-test for research,,,
,,Sat 3/14,,Final Exam (8-11AM),"Sam, Peter",,,,,,,,SETs and End-of-Quarter Survey (due 8AM),,
