Week,Title,Date,#,Lecture,Readings,Links,Homework,Discussion,Lab,Quiz,Survey
1,"Background, Basic Type I Error Rate Estimation",Tue 3/31,1,Introduction and Background,SPA 2-3,https://bookdown.org/jefftemplewebb/IS-6489/getting-started.html,,,,,
,,Wed 4/1,,,,,,1. Getting Started with R and R Markdown,,,
,,Thu 4/2,2,Type I Error Estimation with the t-Test,MD 9.5,https://moderndive.com/v2/hypothesis-testing.html#ht-interpretation,,,,,Welcome Survey
2,Type I Error Rate and Power,Mon 4/6,,,,,,,1. Introduction to R,,
,,Tue 4/7,3,One sample nonparametric tests and Type I Errors,PS 11,https://online.stat.psu.edu/stat500/Lesson11,,,,,
,,Wed 4/8,,,,,,2. Simulations in R,,,
,,Thu 4/9,4,One sample tests and power,DHVS 23,https://jonesor.github.io/BB852_Book/power-analysis-by-simulation.html,,,,,
3,Effect Size and A/B Testing,Mon 4/13,,,,,,,2. Type I Error Rate and Power,,
,,Tue 4/14,5,Statistical Significance vs. Effect Size,"Forbes, Guardian","https://www.forbes.com/sites/jvchamary/2015/10/27/bacon-cancer/, https://www.theguardian.com/society/2015/oct/26/bacon-ham-sausages-processed-meats-cancer-risk-smoking-says-who",,,,,
,,Wed 4/15,,,,,,"3. tidyverse basics (dplyr, ggplot2, etc)",,,
,,Thu 4/16,6,A/B Testing Principles and t-Test vs. Permutation Test,"Jalapic, Medium, data36, Unbounce","https://jalapic.github.io/introstats/permutation-testing.html, https://medium.com/thedeephub/permutation-test-a-robust-alternative-to-traditional-statistical-tests-2b8784554547, https://data36.com/statistical-significance-in-ab-testing/, https://unbounce.com/landing-page-articles/what-is-ab-testing/",1. One Sample Type I Errors and Power,,,,
4,Multiple Linear Regression,Mon 4/20,,,,,,,"3. Effect Size, A/B Testing",,
,,Tue 4/21,7,Statistical Inference for Simple Linear Regression,"MD 10, SPA 6.12-6.13","https://moderndive.com/v2/inference-for-regression.html, https://bookdown.org/jefftemplewebb/IS-6489/linear-regression.html#inference-in-the-context-of-regression",,,,,
,,Wed 4/22,,,,,,,,1. Quiz 1 covers Lectures 1-5,
,,Thu 4/23,8,Statistical Inference for Multiple Linear Regression,HRM 4.3,https://peopleanalytics-regression-book.org/linear_regression.html#sec-multiple-linear-regression,,,,,Mid-Quarter Survey
5,Interaction,Mon 4/27,,,,,,,4. Type I Error rates and power in Regression,,
,,Tue 4/28,9,Model Diagnostics in Regression ,HRM 4.5,https://peopleanalytics-regression-book.org/linear_regression.html#testing-your-model-assumptions,,,,,
,,Wed 4/29,,,,,,4. HW1 and Quiz 1 review,,,
,,Thu 4/30,10,Categorical Predictor Variables,HRM 4.4.3,https://peopleanalytics-regression-book.org/linear_regression.html#transforming-categorical-inputs-to-dummy-variables,,,,,
6,"Model Selection, Logistic Regression",Mon 5/4,,,,,,,"5. Model Diagnostics, Dummy Variables",,
,,Tue 5/5,11,Interaction Terms: Interpretation and Inference ,HRM 4.6.1,https://peopleanalytics-regression-book.org/linear_regression.html#interactions-between-input-variables,,,,,
,,Wed 5/6,,,,,,5. Extra Office Hours,,,
,,Thu 5/7,12,Interaction Terms: Inference and Diagnostics,,,2. Inference in Regression,,,,
7,"Transformations, Model Selection, Logistic Regression",Mon 5/11,,,,,,,6. Interaction Terms,,
,,Tue 5/12,13,Transformations of Variables,"IS 6.15, 6.16","https://bookdown.org/jefftemplewebb/IS-6489/linear-regression.html#centering-and-scaling, https://bookdown.org/jefftemplewebb/IS-6489/linear-regression.html#log-transformation",,,,,
,,Wed 5/13,,,,,,,,2. Quiz 2 covers Lectures 6-11,
,,Thu 5/14,14,Pitfalls of Mixing Model Selection with Inference,Berk 2013,https://dsc152.com/resources/references/Berk2013_post-selection.pdf,,,,,
8,Logistic Regression,Mon 5/18,,,,,,,"7. Transformations, Model Selection and Inference",,
,,Tue 5/19,15,Introduction to Logistic Regression,"IS 8, HRM 5","https://bookdown.org/jefftemplewebb/IS-6489/logistic-regression.html, https://peopleanalytics-regression-book.org/binomial_logistic_regression.html",,,,,
,,Wed 5/20,,,,,,6. HW2 and Quiz 2 review,,,
,,Thu 5/21,16,Statistical Inference for Logistic Regression,"IS 8, HRM 5","https://bookdown.org/jefftemplewebb/IS-6489/logistic-regression.html, https://peopleanalytics-regression-book.org/binomial_logistic_regression.html",,,,,
9,Time Series,Mon 5/25,,,,,,,8. Logistic Regression,,
,,Tue 5/26,17,Introduction to Time Series,TSR 4-6,"https://nicolarighetti.github.io/Time-Series-Analysis-With-R/basic-concepts.html, ",,,,,
,,Wed 5/27,,,,,,7. Extra Office Hours,,,
,,Thu 5/28,18,Time Series Regression,TSR 8-9,https://nicolarighetti.github.io/Time-Series-Analysis-With-R/correlations-and-arima.html,"3. Logistic Regression, Interaction Terms, Model Selection",,,,
10,"Time Series, Review",Mon 6/1,,,,,,,9. Poker and Slot Machines: Model Selection and other considerations,,
,,Tue 6/2,19,Time Series Models,RC 14.13-14.20,https://rc2e.com/timeseriesanalysis#recipe-id082,,,,,
,,Wed 6/3,,,,,,,,3. Quiz 3 covers lectures 12-17,
,,Thu 6/4,20,Catch up / Review,,,,,,,SETs (due 8AM)
,,Sat 6/6,,Final Exam (3-6pm),,,,,,,
